"Freq [GHz]","mag(AxialRatioValue) [] - Phi='0deg' Theta='0deg'"
1.5,4.81665047627629
1.51,4.62528084772832
1.52,4.44827476490909
1.53,4.28561768489695
1.54,4.13727360679585
1.55,4.00318718021071
1.56,3.88328458003707
1.57,3.77747507367448
1.58,3.68565172670105
1.59,3.60769213345576
1.6,3.5434590779772
1.61,3.49280295551801
1.62,3.45556364995748
1.63,3.4315757357762
1.64,3.42067466669176
1.65,3.42270621381664
1.66,3.43753825157961
1.67,3.46507528829097
1.68,3.50527612801097
1.69,3.55817391563512
1.7,3.62389943975384
1.71,3.70270710883701
1.72,3.79500535645021
1.73,3.90139182475798
1.74,4.02269498675044
1.75,4.16002612496529
1.76,4.31484320460025
1.77,4.48903379290437
1.78,4.6850241851261
1.79,4.90592439594071
1.8,5.15572704498176
1.81,5.43958387713845
1.82,5.76419897836863
1.83,6.13839983960164
1.84,6.57398862706996
1.85,7.0870467901145
1.86,7.70000535019055
1.87,8.44505274044795
1.88,9.37002086733005
1.89,10.5491286537139
1.9,12.1040071968447
1.91,14.2486704442283
1.92,17.3976804493987
1.93,22.4728077006381
1.94,32.020327120349
1.95,56.6081489151699
1.96,263.531745948241
1.97,96.2421576979008
1.98,40.1640683392064
1.99,25.1667013071083
2,18.212043996427
2.01,14.1994996379816
2.02,11.5889044475617
2.03,9.75544994032466
2.04,8.39762082744054
2.05,7.35204220739381
2.06,6.52249313135057
2.07,5.84861704914728
2.08,5.29063459180186
2.09,4.82126227085933
2.1,4.42116299728571
2.11,4.07624918467487
2.12,3.77601435825061
2.13,3.51246409014618
2.14,3.27940778333262
2.15,3.07197751561887
2.16,2.88629358635947
2.17,2.7192266277041
2.18,2.56822527687409
2.19,2.43118980458137
2.2,2.30637747613044
2.21,2.19233106375035
2.22,2.08782422350231
2.23,1.9918193279452
2.24,1.90343457927033
2.25,1.82191866231136
2.26,1.74663059708044
2.27,1.67702461232522
2.28,1.61263845057903
2.29,1.55308529434296
2.3,1.49804880786098
2.31,1.44728132550582
2.32,1.40060556806324
2.33,1.35792052080987
2.34,1.31921139504399
2.35,1.28456413947449
2.36,1.25418166451547
2.37,1.22839470636112
2.38,1.20765030997737
2.39,1.19245061887136
2.4,1.18321867975104
2.41,1.18011325140918
2.42,1.18288856748675
2.43,1.19090580282293
2.44,1.20329373314462
2.45,1.21914541486095
2.46,1.23765175633099
2.47,1.25815245723782
2.48,1.2801336099027
2.49,1.30320319324316
2.5,1.32706325847526
2.51,1.35148595409483
2.52,1.37629479300992
2.53,1.40135112620259
2.54,1.42654430825348
2.55,1.45178467262351
2.56,1.47699861444017
2.57,1.50212497856748
2.58,1.52711254251468
2.59,1.55191806937454
2.6,1.57650501987463
2.61,1.60084256668426
2.62,1.62490477672128
2.63,1.6486701340462
2.64,1.67212107196731
2.65,1.69524373249153
2.66,1.7180276255209
2.67,1.74046558282132
2.68,1.76255356196943
2.69,1.78429049658723
2.7,1.80567832501848
2.71,1.82672183111043
2.72,1.84742866258044
2.73,1.86780923128119
2.74,1.88787663951903
2.75,1.90764669009755
2.76,1.92713763082484
2.77,1.94637020098272
2.78,1.96536737514367
2.79,1.98415412412618
2.8,2.00275714343051
2.81,2.02120452994938
2.82,2.03952510681809
2.83,2.05774807367665
2.84,2.07590196922699
2.85,2.09401389439833
2.86,2.11210836374152
2.87,2.13020571735965
2.88,2.14832083368249
2.89,2.16646106763071
2.9,2.18462439529051
2.91,2.20279693352564
2.92,2.22095080299636
2.93,2.23904183547216
2.94,2.25700703180852
2.95,2.27476294197026
2.96,2.29220422575982
2.97,2.30920320165677
2.98,2.32561015072346
2.99,2.34125552437058
3,2.35595315799411
3.01,2.36950538960299
3.02,2.38170949407986
3.03,2.39236573753471
3.04,2.40128611920434
3.05,2.40830318820635
3.06,2.41327866178042
3.07,2.41611076021874
3.08,2.41673940756928
3.09,2.41514930988962
3.1,2.41137030189783
3.11,2.4054750678148
3.12,2.39757456589895
3.13,2.38781194446324
3.14,2.37635512314099
3.15,2.3633888984472
3.16,2.34910764145744
3.17,2.33370802342555
3.18,2.31738346688323
3.19,2.30031909056958
3.2,2.28268837025558
3.21,2.26465072053045
3.22,2.2463500061202
3.23,2.2279144108128
3.24,2.20945622663768
3.25,2.19107277283448
3.26,2.17284736361237
3.27,2.1548504341625
3.28,2.13714109688028
3.29,2.1197682759022
3.3,2.10277214143587
3.31,2.08618519079051
3.32,2.0700336963525
