"Freq [GHz]","dB(S(1,1)) []"
1.5,-4.38824672147817
1.51,-4.91050639606446
1.52,-5.51729414542487
1.53,-6.22507127574921
1.54,-7.05434646221476
1.55,-8.03133550510455
1.56,-9.19080825089187
1.57,-10.5812539268686
1.58,-12.2748398003593
1.59,-14.3880436962326
1.6,-17.1279907386156
1.61,-20.8981724935889
1.62,-26.2726729235052
1.63,-28.3782736905201
1.64,-23.3561079013895
1.65,-19.6021962531107
1.66,-17.0832042526863
1.67,-15.284884026673
1.68,-13.9427697882336
1.69,-12.913389129876
1.7,-12.1114202039881
1.71,-11.4822180454545
1.72,-10.9887580637702
1.73,-10.604864234612
1.74,-10.3114243171945
1.75,-10.0941388595329
1.76,-9.94211153134364
1.77,-9.84692769570734
1.78,-9.80203039681651
1.79,-9.8022853184685
1.8,-9.84367034799156
1.81,-9.92305006582243
1.82,-10.0380099033101
1.83,-10.1867334553481
1.84,-10.3679119215039
1.85,-10.580678241313
1.86,-10.8245608901087
1.87,-11.0994540246236
1.88,-11.4056019260655
1.89,-11.7435967303623
1.9,-12.1143893138218
1.91,-12.5193141074726
1.92,-12.9601295654939
1.93,-13.4390771748199
1.94,-13.9589633465137
1.95,-14.5232704886936
1.96,-15.1363061549154
1.97,-15.803402675486
1.98,-16.5311841851416
1.99,-17.3279230861863
2,-18.2040116433342
2.01,-19.1725688232803
2.02,-20.2501622027225
2.03,-21.4574672165929
2.04,-22.819140584508
2.05,-24.3603472709824
2.06,-26.0912814091134
2.07,-27.9526679422242
2.08,-29.665046365807
2.09,-30.557247622313
2.1,-30.0661624155805
2.11,-28.6043920362291
2.12,-26.896152802314
2.13,-25.2883127197701
2.14,-23.8662260726157
2.15,-22.6264694634855
2.16,-21.5446421577566
2.17,-20.59528576531
2.18,-19.7566497989766
2.19,-19.0111572183901
2.2,-18.3448070938895
2.21,-17.7464391349414
2.22,-17.2070972191292
2.23,-16.7195285595326
2.24,-16.2778019266024
2.25,-15.877019016365
2.26,-15.5130958142535
2.27,-15.1825958694451
2.28,-14.8826020237734
2.29,-14.6106167670339
2.3,-14.3644840667664
2.31,-14.1423274585566
2.32,-13.9425005762871
2.33,-13.7635472949283
2.34,-13.6041693844968
2.35,-13.4632000911055
2.36,-13.3395824431796
2.37,-13.2323513613974
2.38,-13.140618860393
2.39,-13.0635617774591
2.4,-13.0004115920836
2.41,-12.9504459765987
2.42,-12.9129817905842
2.43,-12.8873692863555
2.44,-12.8729873258816
2.45,-12.8692394490336
2.46,-12.8755506522959
2.47,-12.891364762501
2.48,-12.9161423047031
2.49,-12.9493587781453
2.5,-12.9905032664053
2.51,-13.0390773210276
2.52,-13.0945940618602
2.53,-13.1565774517237
2.54,-13.2245617066057
2.55,-13.2980908088404
2.56,-13.3767180999286
2.57,-13.4600059305652
2.58,-13.5475253517333
2.59,-13.6388558352181
2.6,-13.7335850137849
2.61,-13.8313084330902
2.62,-13.9316293113436
2.63,-14.0341583036037
2.64,-14.1385132657381
2.65,-14.2443190190712
2.66,-14.3512071120465
2.67,-14.4588155760053
2.68,-14.5667886759712
2.69,-14.6747766492954
